MUNICIPALITY,POPULATION,BUDGETYEAR,TOTALREVENUE,TOTALEXPENDITURES,POLICE,PROPERTYTAXREVENUE,PROPERTYTAXPERCENTOFTOTALREVENUE,SALESTAXREVENUE,SALESTAXPERCENTAGEOFTOTALREVENUE,GROSSUTILITYRECEIPTS,GROSSUTILITYPERCENTAGEOFTOTALREVENUE,COURTFINESANDFEESREVENUE,COURTFINESANDFEESPERCENTAGEOFTOTALREVENUE,TOPEXPENDITURECATEGORY,TOPEXPENDITURE,TOPEXPENDITUREPERCENTAGEOFTOTAL,SECONDEXPENDITURECATEGORY,SECONDEXPENDITURE,SECONDEXPENDITUREPERCENTAGEOFTOTAL,THIRDEXPENDITURECATEGORY,THIRDEXPENDITURE,THIRDEXPENDITUREPERCENTAGEOFTOTAL,ADMINEXPENDITURE,ADMINISTRATIONPERCENTAGEOFTOTALEXPENDITURES,GENERALOBLIGATIONDEBT,LEASEHOLDDEBT,CERTIFICATIONOFPARTICIPATIONDEBT,SpecialObligationAnnualAppropriationDebt,CompensatedAbsenses,TotalDebt,PensionActuarialAccruedLiability,PensionUnfundedActuarialAccruedLiability,OutstandingTaxIncrementFinancingDebt
Saint Ann,12940,2017,14203398,12377294,4143633,430393,0.03779879892011712,3087738,0.2711772444719236,1724868,0.1514846633094511,1881905,0.16527626769432358,Police,4406169,0.2759437622380373,Projects,4228905,0.2648423053784925,Administration,2063713,0.129243505957113,2063713,0.129243505957113,0,190873,5075000,0,0,5265873,,,0
Saint John,6464,2017,5452931,5655390,1762145,748914,0.13729575140932215,2751396,0.5044036848618176,79386,0.014553554241715935,746166,0.1367919703011137,Public Safety,1529677,0.28847819945558517,General Government,1344821,0.2536166397677807,Public Works,1061889,0.2002591571565055,1344821,0.2536166397677807,0,0,2750000,0,0,2750000,,,2725000
Saint Louis City,311404,,,,,88648000,0.11461033546096631,179362000,0.23189174024174083,91778000,0.11865701840917524,4009000,0.005183115635581333,Police,183337000,0.21354185472533438,Debt Service,111845000,0.13027151497927328,Community Development,82459000,0.09604415801936514,59708000,0.06954492034853993,16800000,454100000,4500000,44200000,0,595300000,,,381200000
Shrewsbury,6202,2017,9027837,9180340,2246675,1133458,0.15771329374051912,3020984,0.4203502352777151,1042647,0.14507753492292702,426057,0.05928305485620495,Public works and planning,2250372,0.2460567450827401,Public Safety,2158905,0.236055699787792,Fire and ambulance ,1824366,0.19947704637260785,850390,0.09298204716860652,3024740,770000,1920000,,210064,5924804,,,8445786
STL County,998581,,,,,106766814,0.15084092084369877,332359356,0.4695596827499105,31712237,0.044803275960764506,2127729,0.0030060707971096934,Public Safety,174700770,0.2269337941642555,Transportation,138882852,0.18040683248684458,Capital Outlay,107435444,0.139557100604888,106186207,0.13793435966207263,,,,,,0,,,
Sunset Hills,8539,2017,10911940,10926664,2671928,205298,0.019331136172467428,4932346,0.46443634217442464,2023048,0.19049292429267645,396538,0.0373385521318176,Public Safety,2343637,0.22976677902865167,Capital outlay,1904466,0.18671108989556837,Parks and recreation,1383272,0.13561398457206514,485732,0.04762046217530489,0,0,11145000,0,0,11145000,,,0
Town & Country,11106,2017,14872710,15548749,4480310,0,0.0,5819471,0.4265807573185775,2592086,0.19000593162417723,917408,0.06724813980688649,Police Services,3909570,0.2979189860800903,Fire and ambulance services,3693320,0.2814401966633976,Capital Outlay,2227852,0.16976787958177023,1823463,0.13895242906881314,0,0,0,0,301864,301864,,,0
Twin Oaks,393,2017,1189400,2861700,,29469,0.024050888084898355,1071626,0.8745989682333056,8493,0.00693149385812351,0,0.0,Administration,423271,0.4279238156475357,Parks,154281,0.15597693723859524,Streets,127510,0.1289116564404773,423271,0.4279238156475357,0,0,0,0,5370,5370,,,0
University City,35058,2017,36743700,36731100,7915000,4409365,0.14616247207803587,10452880,0.346494060059682,7811569,0.2589393792185838,375171,0.01243623986945712,Public Safety,12774937,0.3834185357049355,General Government,7974850,0.23935188952137335,Capital Outlay,4949191,0.14854175532482433,7974850,0.23935188952137335,0,0,4194000,305000,919420,5418420,,,0
Valley Park,6974,2017,8126360,9018412.01,,1356518.82,0.2279840063430069,2571806.73,0.43223196995181223,746648.11,0.12548578385829848,110958,0.018648211143732867,Community Development,3276510.64,0.41545915911516784,Debt Service,1454548.15,0.18443564440600227,Police,1301096.96,0.16497814544832398,860660.5,0.10913112359483743,0,68490.47,4930000,0,0,4998490.47,,,8047850
Vinita Park,1886,2016,3666160,4042760,2268878,228295,0.0639636774736736,556070,0.1557996545381444,448001,0.1255208895152467,196102,0.05494384493721868,Police,2314461,0.541605960691077,Capital outlay,556996,0.1303423793622304,Public Works,508387,0.11896740949095905,472623,0.11059829219835585,104300,70916,0,0,0,175216,,,0
Warson Woods,1958,2016,1655850,1578016,609532,216148,0.12482559482559483,780624,0.4508108108108108,403868,0.23323400323400323,20186,0.011657426657426657,Capital Outlay,1874631,0.5690311453345742,Police,570221,0.17308660142920193,Administration,283069,0.08592361764993356,283069,0.08592361764993356,0,0,1230000,0,0,1230000,,,0
Webster Groves,23177,2017,23162093,24575210,4533501,4255107,0.19306114408015462,6816463,0.3092740430170247,3768285,0.1709732360009009,896872,0.04069254531400889,Public Safety,8221349,0.37381319009392083,General Government,3041105,0.13827477235920446,Parks and recreation,3008499,0.13679222334246738,3041105,0.13827477235920446,9780000,25644,0,0,0,9805644,,,1159000
Wilbur Park,477,2016,142800,124700,,0,0.0,100386.38,0.682627261127093,3642.49,0.02476892754159304,4685.37,0.03186051026510815,Rubbish Expense,36750.82,0.3791302090812606,Police Contract,16304,0.16819594580096098,Trustee Fees,14177,0.14625330738593129,31842.57,0.328495533481557,0,0,0,0,0,0,,,0
Wildwood,35899,2017,18840044,22991870,,0,0.0,7619029,0.5021372220667214,3445390,0.22707074136828478,515671,0.03398564350396466,Capital Outlay,5460314,0.39077385878946225,Police,3091368,0.22123742376322356,Public Works,1749345,0.12519395331551478,1125634,0.08055733457171466,1480000,0,2530000,0,113135,4123135,,,0
Winchester,1540,2017,719090,719090,,42652.36,0.06388525602685471,335181.44,0.502039092557829,149293.05,0.22361305968251277,80202.23,0.12012793658955066,Administrative,323976.96,0.4364264803679186,Public Safety,201507.71,0.2714492433113121,Streets and Sewer,123081.09,0.16580144127701865,323976.96,0.4364264803679186,0,0,0,0,0,0,,,0
Woodson Terrace,4072,2017,4385450,4211787.03,1756730,200143.31,0.04556834241151917,2719546.1,0.6191823643204041,372485.99,0.08480707716792385,130365.96,0.02968153521637277,Police,1623680.28,0.34847382086794404,Capital Outlay,970704.64,0.20833236629260665,Administration,652127.74,0.1399594785075404,652127.74,0.1399594785075404,1790000,0,0,0,0,1790000,,,0
